customer_id,renewal_status,renewal_date,contract_value_usd
C0001,Renewed,2026-07-06,322107
C0002,Pending,2026-11-03,306934
C0003,Renewed,2026-08-11,336177
C0004,Renewed,2026-10-05,104797
C0005,Pending,2026-08-03,378569
C0006,Renewed,2026-02-16,205232
C0007,Renewed,2026-12-13,77165
C0008,Pending,2026-05-16,176986
C0009,Renewed,2026-11-28,276703
C0010,Churned,2026-07-09,210852
C0011,Renewed,2026-03-23,23319
C0012,Churned,2026-07-04,245179
C0013,Renewed,2026-01-01,309411
C0014,Churned,2026-03-22,398930
C0015,Churned,2026-05-11,468521
C0016,Renewed,2026-05-02,110166
C0017,Renewed,2026-12-04,42922
C0018,Pending,2026-12-08,460919
C0019,Pending,2026-06-01,176616
C0020,Renewed,2026-05-07,387380
C0021,Renewed,2026-02-19,345464
C0022,Renewed,2026-05-08,359275
C0023,Renewed,2026-09-28,241534
C0024,Pending,2026-10-15,344344
C0025,Renewed,2026-05-15,327437
C0026,Renewed,2026-06-23,398627
C0027,Pending,2026-03-05,58981
C0028,Churned,2026-09-08,381298
C0029,Pending,2026-11-26,364107
C0030,Pending,2026-12-18,424825
C0031,Renewed,2026-10-06,395851
C0032,Renewed,2026-05-25,294547
C0033,Pending,2026-08-02,236189
C0034,Pending,2026-11-13,444904
C0035,Churned,2026-04-07,471702
C0036,Renewed,2026-03-19,319103
C0037,Churned,2026-07-12,59951
C0038,Pending,2026-10-02,96994
C0039,Pending,2026-08-23,294636
C0040,Churned,2026-05-14,154146
C0041,Renewed,2026-09-11,343730
C0042,Churned,2026-06-24,286452
C0043,Churned,2026-04-27,397353
C0044,Churned,2026-03-25,178107
C0045,Churned,2026-07-23,426145
C0046,Pending,2026-03-13,423420
C0047,Renewed,2026-01-24,276293
C0048,Pending,2026-07-16,75708
C0049,Churned,2026-10-25,98228
C0050,Pending,2026-05-07,462074
C0051,Churned,2026-06-24,205681
C0052,Renewed,2026-10-13,98485
C0053,Churned,2026-03-06,106241
C0054,Pending,2026-01-25,65726
C0055,Churned,2026-03-12,392382
C0056,Churned,2026-11-13,98081
C0057,Pending,2026-08-06,299653
C0058,Pending,2026-04-19,408710
C0059,Pending,2026-03-21,16664
C0060,Renewed,2026-03-26,95210
C0061,Renewed,2026-05-03,160718
C0062,Churned,2026-10-06,321438
C0063,Renewed,2026-01-20,378137
C0064,Churned,2026-07-13,99255
C0065,Churned,2026-08-02,80453
C0066,Pending,2026-07-01,147508
C0067,Pending,2026-01-19,199428
C0068,Pending,2026-04-06,44997
C0069,Pending,2026-05-21,30624
C0070,Renewed,2026-12-08,332187
C0071,Renewed,2026-01-24,408594
C0072,Renewed,2026-10-08,138770
C0073,Pending,2026-04-18,334632
C0074,Renewed,2026-03-06,166174
C0075,Pending,2026-02-03,320318
C0076,Renewed,2026-07-28,13035
C0077,Churned,2026-01-14,21150
C0078,Churned,2026-03-15,264727
C0079,Churned,2026-01-11,219701
C0080,Pending,2026-07-04,494163
C0081,Churned,2026-12-14,445658
C0082,Renewed,2026-08-14,466292
C0083,Renewed,2026-07-10,124498
C0084,Churned,2026-09-23,195591
C0085,Renewed,2026-01-19,180689
C0086,Renewed,2026-08-06,114797
C0087,Pending,2026-07-03,243147
C0088,Pending,2026-11-05,459519
C0089,Renewed,2026-11-04,117786
C0090,Renewed,2026-07-04,16517
C0091,Churned,2026-10-09,158433
C0092,Churned,2026-02-14,167113
C0093,Renewed,2026-04-23,61978
C0094,Pending,2026-06-09,481821
C0095,Pending,2026-02-24,113089
C0096,Pending,2026-03-15,256346
C0097,Churned,2026-07-17,199798
C0098,Pending,2026-07-25,26591
C0099,Pending,2026-12-07,424208
C0100,Pending,2026-10-10,104403
C0101,Churned,2026-01-27,155460
C0102,Pending,2026-02-16,181858
C0103,Pending,2026-02-17,298609
C0104,Pending,2026-01-03,448248
C0105,Pending,2026-10-20,306029
C0106,Renewed,2026-03-10,375603
C0107,Renewed,2026-01-06,160486
C0108,Churned,2026-04-15,171298
C0109,Pending,2026-05-03,412958
C0110,Pending,2026-03-08,150859
C0111,Pending,2026-07-25,185762
C0112,Renewed,2026-09-27,213801
C0113,Churned,2026-05-15,308987
C0114,Renewed,2026-03-12,468304
C0115,Pending,2026-09-12,400781
C0116,Renewed,2026-07-27,409017
C0117,Renewed,2026-07-18,307701
C0118,Renewed,2026-05-23,255162
C0119,Renewed,2026-04-17,237474
C0120,Churned,2026-12-09,43145
C0121,Churned,2026-01-01,322276
C0122,Pending,2026-04-17,468435
C0123,Pending,2026-11-11,262554
C0124,Churned,2026-05-06,57904
C0125,Pending,2026-12-09,132922
C0126,Pending,2026-10-20,18390
C0127,Renewed,2026-10-25,125539
C0128,Pending,2026-09-03,147284
C0129,Churned,2026-07-02,169763
C0130,Pending,2026-11-21,225254
C0131,Churned,2026-02-10,126459
C0132,Pending,2026-09-17,147323
C0133,Pending,2026-04-15,36858
C0134,Pending,2026-12-13,53177
C0135,Churned,2026-08-27,351744
C0136,Pending,2026-07-09,479813
C0137,Pending,2026-08-05,366220
C0138,Pending,2026-04-13,300168
C0139,Renewed,2026-06-22,165679
C0140,Churned,2026-02-17,205437
C0141,Churned,2026-12-20,309501
C0142,Renewed,2026-01-05,247403
C0143,Pending,2026-12-06,312443
C0144,Renewed,2026-01-25,281069
C0145,Pending,2026-06-02,375693
C0146,Pending,2026-11-27,449158
C0147,Churned,2026-07-01,162072
C0148,Renewed,2026-06-14,404735
C0149,Pending,2026-01-11,481557
C0150,Renewed,2026-04-23,140012
C0151,Pending,2026-05-14,320451
C0152,Churned,2026-04-07,24181
C0153,Pending,2026-08-21,240703
C0154,Churned,2026-04-01,438565
C0155,Pending,2026-08-23,424952
C0156,Renewed,2026-09-05,105963
C0157,Churned,2026-03-14,225121
C0158,Pending,2026-10-21,157434
C0159,Renewed,2026-10-01,414277
C0160,Churned,2026-08-17,349236
C0161,Churned,2026-07-11,124310
C0162,Churned,2026-06-22,323416
C0163,Renewed,2026-07-16,403965
C0164,Renewed,2026-10-14,117138
C0165,Pending,2026-11-27,98688
C0166,Churned,2026-09-23,333966
C0167,Churned,2026-08-13,22619
C0168,Churned,2026-06-26,344328
C0169,Pending,2026-01-28,361663
C0170,Churned,2026-05-19,82378
C0171,Renewed,2026-02-23,248766
C0172,Renewed,2026-05-21,459025
C0173,Churned,2026-07-25,377084
C0174,Renewed,2026-09-28,220487
C0175,Churned,2026-12-15,25592
C0176,Pending,2026-07-07,107946
C0177,Renewed,2026-02-13,410034
C0178,Renewed,2026-10-22,479926
C0179,Renewed,2026-08-07,434455
C0180,Churned,2026-10-06,411991
C0181,Churned,2026-10-03,362795
C0182,Churned,2026-09-06,267183
C0183,Renewed,2026-09-05,229508
C0184,Churned,2026-06-25,116993
C0185,Renewed,2026-08-03,249883
C0186,Churned,2026-01-18,231715
C0187,Pending,2026-10-09,99976
C0188,Pending,2026-10-10,92698
C0189,Renewed,2026-04-23,374619
C0190,Churned,2026-09-22,358582
C0191,Renewed,2026-02-22,414269
C0192,Renewed,2026-06-10,370231
C0193,Churned,2026-10-23,20107
C0194,Renewed,2026-05-12,416369
C0195,Churned,2026-10-14,245741
C0196,Renewed,2026-07-20,104179
C0197,Renewed,2026-10-11,439667
C0198,Churned,2026-08-07,11044
C0199,Pending,2026-05-20,288135
C0200,Renewed,2026-05-08,304341
C0201,Churned,2026-12-25,155718
C0202,Churned,2026-04-26,38470
C0203,Churned,2026-03-26,466951
C0204,Churned,2026-11-27,398172
C0205,Renewed,2026-08-24,292474
C0206,Renewed,2026-07-16,273191
C0207,Renewed,2026-07-21,207606
C0208,Churned,2026-05-22,126283
C0209,Churned,2026-02-11,472961
C0210,Churned,2026-09-19,462826
C0211,Renewed,2026-02-13,351044
C0212,Pending,2026-10-24,355070
C0213,Renewed,2026-11-17,58839
C0214,Pending,2026-01-07,245283
C0215,Renewed,2026-02-16,38520
C0216,Churned,2026-03-14,340726
C0217,Pending,2026-01-15,471287
C0218,Renewed,2026-04-01,279052
C0219,Churned,2026-09-02,281361
C0220,Churned,2026-02-15,93536
C0221,Pending,2026-03-17,96824
C0222,Churned,2026-07-18,101149
C0223,Churned,2026-05-27,166839
C0224,Churned,2026-06-25,25828
C0225,Churned,2026-01-15,87230
C0226,Churned,2026-09-22,313800
C0227,Pending,2026-10-06,346375
C0228,Churned,2026-08-21,154499
C0229,Renewed,2026-02-14,293030
C0230,Renewed,2026-07-19,369359
C0231,Renewed,2026-12-20,473763
C0232,Pending,2026-02-06,429330
C0233,Pending,2026-07-13,79432
C0234,Renewed,2026-09-02,288073
C0235,Renewed,2026-01-08,337627
C0236,Renewed,2026-08-02,343238
C0237,Renewed,2026-07-07,362593
C0238,Pending,2026-05-09,124474
C0239,Pending,2026-10-13,340413
C0240,Churned,2026-03-21,142687
C0241,Pending,2026-09-22,440608
C0242,Pending,2026-01-03,103660
C0243,Renewed,2026-12-24,164788
C0244,Churned,2026-11-05,166372
C0245,Renewed,2026-11-12,122695
C0246,Pending,2026-10-01,317005
C0247,Renewed,2026-03-08,250401
C0248,Pending,2026-04-01,105755
C0249,Churned,2026-05-19,246636
C0250,Pending,2026-12-02,141032
C0251,Churned,2026-07-21,409006
C0252,Pending,2026-01-05,491448
C0253,Pending,2026-04-13,176852
C0254,Renewed,2026-12-10,32035
C0255,Pending,2026-06-08,376163
C0256,Pending,2026-05-17,405260
C0257,Renewed,2026-12-18,437374
C0258,Pending,2026-06-25,155952
C0259,Churned,2026-01-08,468072
C0260,Pending,2026-12-09,450611
C0261,Churned,2026-09-05,72315
C0262,Pending,2026-12-19,246857
C0263,Pending,2026-04-17,203692
C0264,Pending,2026-12-13,225542
C0265,Renewed,2026-04-05,131016
C0266,Pending,2026-01-13,221409
C0267,Pending,2026-10-25,337642
C0268,Churned,2026-07-10,316869
C0269,Renewed,2026-03-12,314861
C0270,Pending,2026-10-27,264070
C0271,Churned,2026-03-05,402426
C0272,Renewed,2026-05-06,327106
C0273,Churned,2026-07-06,96919
C0274,Pending,2026-10-20,77533
C0275,Renewed,2026-07-14,218747
C0276,Renewed,2026-08-19,315873
C0277,Pending,2026-03-07,477948
C0278,Pending,2026-07-20,319334
C0279,Churned,2026-11-27,90908
C0280,Churned,2026-12-20,424777
C0281,Churned,2026-09-08,122898
C0282,Pending,2026-09-24,260326
C0283,Pending,2026-09-17,253265
C0284,Churned,2026-08-15,330295
C0285,Renewed,2026-06-25,237450
C0286,Renewed,2026-05-04,139530
C0287,Pending,2026-09-06,35614
C0288,Churned,2026-05-20,436297
C0289,Renewed,2026-02-11,114932
C0290,Churned,2026-09-24,109404
C0291,Churned,2026-02-05,76088
C0292,Pending,2026-01-01,12316
C0293,Renewed,2026-05-10,36041
C0294,Churned,2026-11-23,254533
C0295,Pending,2026-03-27,333454
C0296,Churned,2026-12-03,425450
C0297,Pending,2026-12-21,356729
C0298,Renewed,2026-01-28,159025
C0299,Churned,2026-10-03,124151
C0300,Pending,2026-02-01,117020
C0301,Churned,2026-10-16,178504
C0302,Renewed,2026-11-27,294984
C0303,Pending,2026-03-02,320083
C0304,Churned,2026-09-14,347865
C0305,Pending,2026-11-13,165777
C0306,Renewed,2026-12-26,359767
C0307,Churned,2026-03-10,486363
C0308,Renewed,2026-06-20,381940
C0309,Churned,2026-03-02,281890
C0310,Renewed,2026-04-11,446024
C0311,Renewed,2026-01-19,498892
C0312,Pending,2026-07-14,329098
C0313,Renewed,2026-10-09,302919
C0314,Churned,2026-07-05,489919
C0315,Churned,2026-09-27,27802
C0316,Churned,2026-06-13,289942
C0317,Renewed,2026-01-03,258438
C0318,Churned,2026-06-08,339225
C0319,Renewed,2026-08-20,224167
C0320,Pending,2026-02-17,235765
C0321,Churned,2026-06-16,90182
C0322,Churned,2026-12-21,414353
C0323,Pending,2026-01-10,139975
C0324,Pending,2026-08-09,73185
C0325,Churned,2026-03-11,128247
C0326,Renewed,2026-11-07,262791
C0327,Churned,2026-10-11,455865
C0328,Pending,2026-02-01,37173
C0329,Pending,2026-08-16,112996
C0330,Churned,2026-03-03,270219
C0331,Pending,2026-01-08,229699
C0332,Renewed,2026-10-25,357729
C0333,Renewed,2026-01-05,374385
C0334,Pending,2026-10-24,448213
C0335,Churned,2026-10-24,47215
C0336,Churned,2026-04-17,263901
C0337,Renewed,2026-04-15,31136
C0338,Renewed,2026-05-24,106389
C0339,Pending,2026-05-09,453877
C0340,Pending,2026-05-18,329256
C0341,Renewed,2026-05-16,236100
C0342,Renewed,2026-08-24,290255
C0343,Pending,2026-03-25,128223
C0344,Pending,2026-02-01,372717
C0345,Pending,2026-07-11,49959
C0346,Churned,2026-02-26,257053
C0347,Churned,2026-01-23,302218
C0348,Pending,2026-02-16,374420
C0349,Renewed,2026-11-06,462920
C0350,Churned,2026-10-12,51134
C0351,Pending,2026-06-13,110970
C0352,Pending,2026-01-20,436740
C0353,Renewed,2026-09-26,195607
C0354,Churned,2026-01-12,191569
C0355,Churned,2026-12-03,392163
C0356,Churned,2026-02-11,479341
C0357,Pending,2026-05-09,386603
C0358,Churned,2026-07-22,201755
C0359,Renewed,2026-10-22,71327
C0360,Pending,2026-01-21,267895
C0361,Pending,2026-01-02,159451
C0362,Renewed,2026-10-08,477801
C0363,Renewed,2026-12-10,177212
C0364,Pending,2026-02-18,154856
C0365,Renewed,2026-04-20,493980
C0366,Churned,2026-09-05,103433
C0367,Renewed,2026-09-01,367025
C0368,Renewed,2026-10-13,216389
C0369,Renewed,2026-12-24,30922
C0370,Renewed,2026-09-12,489901
C0371,Churned,2026-09-13,368871
C0372,Pending,2026-11-23,399935
C0373,Renewed,2026-11-15,290063
C0374,Churned,2026-01-05,215385
C0375,Pending,2026-03-20,375855
C0376,Pending,2026-02-13,158103
C0377,Churned,2026-07-23,324736
C0378,Renewed,2026-04-24,134114
C0379,Pending,2026-12-14,79285
C0380,Renewed,2026-01-07,327142
C0381,Pending,2026-05-09,455647
C0382,Renewed,2026-09-17,481860
C0383,Renewed,2026-07-16,32319
C0384,Churned,2026-12-20,302756
C0385,Pending,2026-01-20,98178
C0386,Renewed,2026-11-23,71595
C0387,Churned,2026-12-20,58578
C0388,Churned,2026-12-27,373203
C0389,Churned,2026-05-28,126579
C0390,Renewed,2026-02-07,366908
C0391,Renewed,2026-07-13,62565
C0392,Renewed,2026-06-18,154534
C0393,Churned,2026-06-18,34665
C0394,Pending,2026-03-26,219369
C0395,Renewed,2026-03-22,72550
C0396,Renewed,2026-10-21,221433
C0397,Renewed,2026-05-15,428759
C0398,Churned,2026-11-06,86934
C0399,Renewed,2026-06-08,324897
C0400,Pending,2026-11-01,259586
C0401,Pending,2026-05-12,382856
C0402,Pending,2026-05-16,390847
C0403,Churned,2026-01-28,288828
C0404,Churned,2026-11-25,82135
C0405,Churned,2026-04-03,242675
C0406,Renewed,2026-05-13,401065
C0407,Renewed,2026-10-19,187711
C0408,Churned,2026-04-19,152763
C0409,Pending,2026-08-26,213154
C0410,Pending,2026-03-28,223618
C0411,Renewed,2026-04-11,378638
C0412,Churned,2026-07-01,200474
C0413,Renewed,2026-01-05,402712
C0414,Pending,2026-02-24,290295
C0415,Pending,2026-01-05,206068
C0416,Pending,2026-09-15,13113
C0417,Renewed,2026-07-17,220388
C0418,Renewed,2026-06-27,37175
C0419,Pending,2026-04-02,217736
C0420,Pending,2026-04-14,444757
C0421,Renewed,2026-06-02,77772
C0422,Churned,2026-09-21,55995
C0423,Churned,2026-11-14,149451
C0424,Renewed,2026-10-18,318159
C0425,Renewed,2026-01-28,123432
C0426,Churned,2026-01-19,72005
C0427,Renewed,2026-01-26,398382
C0428,Renewed,2026-11-01,85058
C0429,Pending,2026-03-01,328929
C0430,Pending,2026-06-06,371003
C0431,Renewed,2026-08-25,204525
C0432,Churned,2026-08-23,323238
C0433,Pending,2026-04-28,68779
C0434,Churned,2026-11-27,107870
C0435,Pending,2026-01-02,336778
C0436,Churned,2026-09-14,32543
C0437,Renewed,2026-08-12,490893
C0438,Pending,2026-05-22,178653
C0439,Pending,2026-05-21,319610
C0440,Renewed,2026-01-11,159857
C0441,Churned,2026-09-20,157595
C0442,Churned,2026-05-11,128032
C0443,Churned,2026-02-04,302258
C0444,Renewed,2026-11-18,73321
C0445,Churned,2026-09-20,214099
C0446,Pending,2026-11-12,287554
C0447,Renewed,2026-05-27,453163
C0448,Pending,2026-06-13,222936
C0449,Renewed,2026-03-20,426390
C0450,Churned,2026-06-05,74669
C0451,Pending,2026-10-16,37437
C0452,Pending,2026-12-14,209169
C0453,Renewed,2026-04-26,224113
C0454,Renewed,2026-07-27,83159
C0455,Pending,2026-09-14,25982
C0456,Pending,2026-01-10,245357
C0457,Churned,2026-03-25,231039
C0458,Pending,2026-01-05,113148
C0459,Pending,2026-02-12,274224
C0460,Pending,2026-01-03,206324
C0461,Renewed,2026-11-01,45573
C0462,Pending,2026-04-22,390546
C0463,Churned,2026-02-14,270597
C0464,Renewed,2026-06-14,38295
C0465,Pending,2026-09-15,309935
C0466,Renewed,2026-06-05,103974
C0467,Pending,2026-05-03,119675
C0468,Renewed,2026-10-11,171266
C0469,Pending,2026-10-09,39682
C0470,Churned,2026-07-09,393738
C0471,Churned,2026-06-07,60894
C0472,Churned,2026-06-23,491244
C0473,Pending,2026-10-02,177414
C0474,Churned,2026-08-04,310243
C0475,Churned,2026-02-25,347109
C0476,Churned,2026-11-19,288668
C0477,Pending,2026-07-24,167466
C0478,Churned,2026-07-19,122621
C0479,Pending,2026-06-13,474086
C0480,Renewed,2026-09-08,112135
C0481,Pending,2026-12-20,269468
C0482,Pending,2026-11-22,303373
C0483,Pending,2026-07-18,13625
C0484,Pending,2026-11-15,35782
C0485,Renewed,2026-04-24,373889
C0486,Pending,2026-08-26,393273
C0487,Renewed,2026-09-09,138115
C0488,Renewed,2026-11-04,305521
C0489,Renewed,2026-03-01,326392
C0490,Pending,2026-07-16,136822
C0491,Renewed,2026-04-28,438542
C0492,Renewed,2026-12-23,326514
C0493,Churned,2026-08-07,422160
C0494,Churned,2026-03-07,306496
C0495,Pending,2026-05-09,30928
C0496,Renewed,2026-09-05,178904
C0497,Renewed,2026-03-27,216980
C0498,Pending,2026-07-20,460607
C0499,Churned,2026-11-06,145416
